es,cn,pos,
"""¿Cómo te llamas?""","""你叫什么名字？""",1单元,
"""Soy Ana, yo te presento a mi amigo. Este es Pedro y él es profesor de español.""","""我是安娜，我向你介绍我的朋友。这是佩德罗，他是西班牙语老师。""",1单元,
"""Encantado/a de conocerte./Mucho gusto.""","""很高兴认识你。""",1单元,
"""¡Mucho gusto! Yo soy de China, pero yo enseño español en una universidad de España ahora. ""","""很高兴认识你！我来自中国，但是我现在在西班牙语的一所大学里教西班牙语。""",1单元,
"""El amigo de mi amigo es chino también, y es de Chongqing. ¿De dónde eres？""","""我朋友的朋友也是中国人，来自重庆。你来自哪里？""",1单元,
"""Yo soy de Beijing.""","""我来自北京。""",1单元,
"""Buenos días.""","""早上好。""",1单元,
"""Buenas tardes.""","""下午好。""",1单元,
"""Buenas noches.""","""晚上好。""",1单元,
"""¿Cuál es tu nombre?""","""你的名字是什么？""",1单元,
"""Mis amigos son Paco y Paula.""","""我的朋友是Paco和Paula。""",1单元,
"""Su profesor es Tomás.""","""他的老师是Tomás。""",1单元,
"""Nuestra amiga española es Ana.""","""我们的西班牙朋友是安娜。""",1单元,
"""Susana es mexicana, es mi profesora de español.""","""Susana是墨西哥人，是我的西班牙语老师。""",1单元,
"""Ellas son estudiantes, son chilenas.""","""她们是学生，是智利人。""",1单元,
"""¡Qué va! Ellos solos son amigos.""","""不是! 他们只是朋友。""",1单元,
"""¿Quién es esa chica?""","""那个女孩是谁？""",1单元,
"""Esa chica es nuestra madre.""","""那个女孩是我们的妈妈。""",1单元,
"""¿Es ella de México？""","""她是来自墨西哥吗？""",1单元,
"""No, no es de México, y ella es de Chile.""","""不，她不是来自墨西哥，她是来自智利。""",1单元,
"""Susana y Paco son novios.""","""Susana 和Paco是情侣。""",1单元,
"""¿Sois amigos vosotros？""","""你们是朋友吗？""",1单元,
"""Él es cubano, pero él está en China ahora.""","""他是古巴人，但是他现在在中国。""",1单元,
"""¿Quién son ellos?""","""他们是谁？""",1单元,
"""¿De dónde eres?""","""你来自哪里？""",1单元,
"""¿Usted es nuestro profesor de chino？""","""您是我们的中文老师吗？""",1单元,
"""Somos tus alumnos.""","""我们是你的学生。""",1单元,
"""Ella es estudiante, su novio no es estudiante, ellos son jóvenes.""","""她是学生，她的男朋友不是学生，他们很年轻。""",1单元,
"""¿Se llama Manolo？""","""他是Manolo吗？""",1单元,
"""Sí, se llama Manolo.""","""是的，他是Manolo。""",1单元,
"""¿No se llama Ana esa chica？""","""那个女孩不叫安娜吗？""",1单元,
"""No, ella no es Ana, es Susana.""","""不，她不是Ana，她是Susana。""",1单元,
