"""es""","""cn"""
"""Yo pregunto a Paula.""","""我向Paula提问。"""
"""Pregunto una cosa a ella.（Le pregunto una cosa.）""","""我问她一件事情。"""
"""Paula es una mujer guapa.""","""Paula是一位漂亮的女人。"""
"""Eva enseña español a Ana.""","""Eva教Ana西班牙语。"""
"""Eva se encarga de esta asignatura de chino.""","""Eva负责这节中文课。"""
"""Eva y yo tenemos una conversación.""","""Eva和我有一场对话。"""
"""Vosotros tenéis muchas cosas.""","""你们有很多事情。"""
"""Paula trabaja mucho.""","""Paula干了很多活。"""
"""¿Dónde tú trabajas?""","""你在哪里工作？"""
"""Trabajo en una universidad.""","""我在大学里工作。"""
"""¿Cómo él trabaja?""","""他工作的怎么样？"""
"""Él trabaja bien.""","""他工作得很好。"""
"""Mi trabajo muy bien.""","""我的工作很好。"""
"""¿Cómo está?(¿Qué tal ？)""","""你怎么样？"""
"""Regreso de España a China.""","""我从西班牙回到中国。"""
"""Regreso de España a China a/para estudiar.""","""我从西班牙回到中国去学习。"""
"""¿Cuántas clases tiene?""","""他有几节课？"""
"""Regreso a casa contigo.""","""我和你一起回家。"""
"""Van a España conmigo.""","""他们和我去西班牙。"""
"""Vamos a clase.""","""我们去上课。"""
"""Mi profesor de español se llama Mario Ramírez. Él es español y ahora  trabaja en una universidad de Beijing.""","""我的西班牙语老师叫马里奥拉米雷斯，他是西班牙人，现在在北京的一所大学里工作。"""
"""Yo soy español/la, enseño alemán en una universidad de España. Yo tengo varios alumnos latinoamericanos. Ellos estudian mucho.""","""我是西班牙人，在西班牙的一所大学里教德语，我有好几位拉丁美洲的学生，他们学习很用功。"""
"""Carmen es cubana. Tiene una amiga chilena, y ella se llama Ana. Ellos estudian chino en una universidad. Todos los días tienen las clases de lectura, gramática y conversación.""","""卡门是古巴人，有个智利朋友，她叫安娜。他们在一所大学里学习汉语，每天有阅读课，语法课和会话课。"""
"""Somos estudiantes universitarios. Nuestra universidad está en Beijing. Tenemos cuatro clases todos los días.  Estamos muy ocupados, pero contentos.""","""我们是大学生，我们的大学在北京，我们每天有四节课。我们很忙，但是很快乐。"""
