es,cn,pos
indicar,指出,tr.
camino,路,m.
teléfono,电话,m.
llamada,打电话,f.
ganas,愿望,f.pl.
desde,从,prep.
gato/ta,猫,m.f.
quedar,位于,intr.
lejos,远,adv.
inmediatamente,马上,adv.
dejar,放下、离开、让出...状态,tr.
suficiente,足够的,adj.
espacio,空间、地方,m.
dirección,地址、方向,f.
por supuesto,当然,loc.adv.
seguridad,安全、保险,f.
móvil,手机（Esp.）,m.
celular,手机（Amer.）,m.
encender,点燃、打开,tr.
minuto,分钟,m.
fuera,在外面,adv.
hacia,朝...方向,prep.
izquierda,左面,f.
parada,公共汽车站,f.
línea,线路,f.
correr,跑,intr.
a ver si,且看是不是,
alcanzar,赶上,tr.
rápido,快,adv.
apearse,下（车等）,prnl.
pino,松树,m.
estación,（地铁、火车）站,f.
nacional,国家的,adj.
zona,地区,f.
residencial,住宅的,adj.
claro,清楚、明亮,adv.adj.
edificio,楼房,m.
creer,相信、认为,tr.
en todo caso,不管怎么样,loc.adv.
perderse,迷路,prnl.
descuidar,放心,intr.
secretario/ria,秘书,m.f.
cliente,顾客,amb.
señorita,小姐,f.
delegación,代表团,f.
entrevista,会见、见面,f.
gerente,经理,amb.
oficina,办公室（ofi...）,f.
ascensor,电梯,m.
a la derecha,在右边、向右边,loc.adv.
avanzar,前进,intr.
metro,米、公尺、地铁,m.
pasillo,走廊,m.
sentir,感到、抱歉,tr.intr.
apagar,熄灭、关闭,tr.
despacho,办公室（des...）,m.
duda,疑问,f.
seguir,继续、接着,intr.
taxi,出租车,m.
taxista,出租车司机,amb.
utilizar,使用,tr.
