"es","cn"
"Le quedan tres días.","他只剩三天了。"
"¡Qué casualidad！","好巧啊！"
"Tu hermano menor parece ocupado.","你的弟弟看起来很忙。"
"¿Adónde va el autobús?","这辆公交车去哪里？"
"Estudiamos en aquella universidad.","我们在那所大学学习。"
"¡Cuánto tiempo！","这么久啊！"
"No hablamos alemán.","我们不说德语。"
"Habla mucho.","他说很多。"
"¿Vuelves a casa todos los días?","你每天都回家吗？"
"Regreso a casa muy tarde.","我回家得很晚。"
"Ella es una chica alegre.","她是一个快乐的女孩。"
"Voy a ver a mi profesor/ra.","我要去看望我的老师。"
"¿Qué haces?","你在干什么？"
"Estudio en este curso.","我在这个年级学习。"
"Nuestra universidad va a organizar un viaje.","我们大学要组织一次旅行。"
"Llevamos un año en Madrid.","我们在马德里呆了一年。"
"¿Lleváis mucho tiempo aquí?","你们在这儿呆了很久吗？"
"En la sala de estar hay muchos niños.","客厅里有很多小孩。"
"La casa tiene muchas habitaciones.","这个房子里有很多房间。"
"Ella siemple dice lo mismo.","她总是说同样的事情。"
"No me levanto hasta las diez.","我直到10:00才起床。"
"Van a comenzar este trabajo.","他们将要开始这个工作。"
"Los estudiantes repasan las lecciones estudiadas.","学生们在复习学过的这些功课。"
"Salgo de casa a la universidad a estudiar.","我离开家去大学学习。"
"¿Sabes el horario de Paula？","你知道Paula的作息时间吗？"
"Apenas tengo tiempo. (No tengo apenas tiempo.)","我几乎没有时间。"
"Hay muchos jóvenes en la sala de estar.（Tiene muchos jóvenes en la sala de estar.）","有很多青年人在客厅。"
"¿Repasas esta unidad?","你复习这个单元吗？"
"Voy a hablar de mi estudio con Eva.","我要和Eva谈谈我的学习。"
"Los chinos comen con palillos.","中国人都用筷子吃饭。"
